101 findings in prompts.md

vendor/community-patterns/README.md:330:115 error MD060/table-column-style Table column style [Table pipe does not align with header for style "aligned"]

vendor/community-patterns/README.md:331:14 error MD060/table-column-style Table column style [Table pipe does not align with header for style "aligned"]

vendor/community-patterns/README.md:331:57 error MD060/table-column-style Table column style [Table pipe does not align with header for style "aligned"]

vendor/community-patterns/README.md:331:97 error MD060/table-column-style Table column style [Table pipe does not align with header for style "aligned"]

vendor/community-patterns/README.md:336:8 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/community-patterns/README.md:336:15 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/community-patterns/README.md:336:29 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/community-patterns/README.md:336:1 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/community-patterns/README.md:336:8 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/community-patterns/README.md:336:15 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/community-patterns/README.md:350:63 error MD060/table-column-style Table column style [Table pipe does not align with header for style "aligned"]

vendor/community-patterns/README.md:350:89 error MD060/table-column-style Table column style [Table pipe does not align with header for style "aligned"]


91 findings in vendor/ImHex-Patterns/README.md

vendor/ImHex-Patterns/README.md:3:81 error MD013/line-length Line length [Expected: 80; Actual: 138]

vendor/ImHex-Patterns/README.md:6:81 error MD013/line-length Line length [Expected: 80; Actual: 88]

vendor/ImHex-Patterns/README.md:17:81 error MD013/line-length Line length [Expected: 80; Actual: 130]

vendor/ImHex-Patterns/README.md:18:81 error MD013/line-length Line length [Expected: 80; Actual: 109]

vendor/ImHex-Patterns/README.md:25:8 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/ImHex-Patterns/README.md:25:15 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/ImHex-Patterns/README.md:25:22 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/ImHex-Patterns/README.md:25:36 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/ImHex-Patterns/README.md:25:1 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/ImHex-Patterns/README.md:25:8 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/ImHex-Patterns/README.md:25:15 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/ImHex-Patterns/README.md:25:22 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/ImHex-Patterns/README.md:45:81 error MD013/line-length Line length [Expected: 80; Actual: 178]

vendor/ImHex-Patterns/README.md:50:10 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]

vendor/ImHex-Patterns/README.md:52:8 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]

vendor/ImHex-Patterns/README.md:53:8 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]

vendor/ImHex-Patterns/README.md:54:10 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]

vendor/ImHex-Patterns/README.md:75:81 error MD013/line-length Line length [Expected: 80; Actual: 169]

vendor/ImHex-Patterns/README.md:80:33 error MD060/table-column-style Table column style [Table pipe has extra space to the right for style "compact"]

vendor/ImHex-Patterns/README.md:87:8 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]

vendor/ImHex-Patterns/README.md:112:13 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/ImHex-Patterns/README.md:112:12 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/ImHex-Patterns/README.md:113:16 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/ImHex-Patterns/README.md:113:15 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/ImHex-Patterns/README.md:114:21 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/ImHex-Patterns/README.md:114:20 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/ImHex-Patterns/README.md:115:10 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/ImHex-Patterns/README.md:115:9 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/ImHex-Patterns/README.md:116:9 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/ImHex-Patterns/README.md:116:8 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/ImHex-Patterns/README.md:119:9 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/ImHex-Patterns/README.md:119:8 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/ImHex-Patterns/README.md:120:14 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]

vendor/ImHex-Patterns/README.md:177:8 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]

vendor/ImHex-Patterns/README.md:207:41 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/ImHex-Patterns/README.md:230:8 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]

vendor/ImHex-Patterns/README.md:230:25 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]

vendor/ImHex-Patterns/README.md:230:73 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]

vendor/ImHex-Patterns/README.md:231:134 error MD055/table-pipe-style Table pipe style [Expected: leading_and_trailing; Actual: leading_only; Missing trailing pipe]

vendor/ImHex-Patterns/README.md:239:8 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]

vendor/ImHex-Patterns/README.md:240:8 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]

vendor/ImHex-Patterns/README.md:252:11 error MD060/table-column-style Table column style [Table pipe does not align with header for style "aligned"]

vendor/ImHex-Patterns/README.md:252:56 error MD060/table-column-style Table column style [Table pipe does not align with header for style "aligned"]

vendor/ImHex-Patterns/README.md:252:123 error MD060/table-column-style Table column style [Table pipe does not align with header for style "aligned"]

vendor/ImHex-Patterns/README.md:253:11 error MD060/table-column-style Table column style [Table pipe does not align with header for style "aligned"]

vendor/ImHex-Patterns/README.md:253:56 error MD060/table-column-style Table column style [Table pipe does not align with header for style "aligned"]

vendor/ImHex-Patterns/README.md:253:116 error MD060/table-column-style Table column style [Table pipe does not align with header for style "aligned"]

vendor/ImHex-Patterns/README.md:258:8 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/ImHex-Patterns/README.md:258:15 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/ImHex-Patterns/README.md:258:29 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/ImHex-Patterns/README.md:258:1 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/ImHex-Patterns/README.md:258:8 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/ImHex-Patterns/README.md:258:15 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/ImHex-Patterns/README.md:267:18 error MD060/table-column-style Table column style [Table pipe does not align with header for style "aligned"]

vendor/ImHex-Patterns/README.md:267:67 error MD060/table-column-style Table column style [Table pipe does not align with header for style "aligned"]

vendor/ImHex-Patterns/README.md:267:100 error MD060/table-column-style Table column style [Table pipe does not align with header for style "aligned"]

vendor/ImHex-Patterns/README.md:272:8 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/ImHex-Patterns/README.md:272:15 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/ImHex-Patterns/README.md:272:29 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/ImHex-Patterns/README.md:272:1 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/ImHex-Patterns/README.md:272:8 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/ImHex-Patterns/README.md:272:15 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/ImHex-Patterns/README.md:275:130 error MD055/table-pipe-style Table pipe style [Expected: leading_and_trailing; Actual: leading_only; Missing trailing pipe]

vendor/ImHex-Patterns/README.md:280:8 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/ImHex-Patterns/README.md:280:15 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/ImHex-Patterns/README.md:280:29 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/ImHex-Patterns/README.md:280:1 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/ImHex-Patterns/README.md:280:8 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/ImHex-Patterns/README.md:280:15 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/ImHex-Patterns/README.md:289:8 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/ImHex-Patterns/README.md:289:15 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/ImHex-Patterns/README.md:289:29 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

